id,name
10769,Foreign
27,Horror
878,Science Fiction
53,Thriller
10770,TV Movie
16,Animation
35,Comedy
10749,Romance
18,Drama
99,Documentary
36,History
80,Crime
9648,Mystery
28,Action
12,Adventure
10402,Music
14,Fantasy
10752,War
37,Western
10751,Family
